Regression Method,R2,MAE
Linear Regression,0.9558570383290742,68.81586042848569
SVR,-0.02433454280590497,237.6815899729785
KNN Regressor,0.9716972580500635,46.247933884297524
Regressor Tree,0.9475985337427643,67.18153729369651
