Regression_Method,R2,MAE
Linear Regression,0.9602993556542422,199.6771960747885
SVR,-0.1740128435304602,966.4660626332753
KNN Regressor,0.9883892732593673,104.48347107438016
Regressor Tree,0.9595344863964222,200.2370839949123
