Regression_Method,R2,MAE
Linear Regression,0.9326937706809799,27.0322094755023
SVR,0.1789860505741927,70.07782531295885
KNN Regressor,0.9481988999642103,20.115702479338843
Regressor Tree,0.907433700778089,33.71464162507557
