Regression Method,R2,MAE
Linear Regression,0.9514057622909817,45.115130925393416
SVR,0.0011391584417010936,177.57706232182542
KNN Regressor,0.967605464973822,33.74793388429753
Regressor Tree,0.9582278701419935,43.733534689660594
