month,cases_new,cases_import,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
1,101949,202,77108,0.0,246.0,3834.0,666.0,0.0,4256.0,24462.0
2,85793,127,107368,0.0,160.0,2267.0,503.0,0.0,2722.0,31384.0
3,44748,235,56207,17.0,19.0,1884.0,110.0,251.0,2442.0,12176.0
4,63213,388,48356,4.0,526.0,3558.0,97.0,4101.0,1376.0,6786.0
5,163644,193,112058,19.0,5074.0,6865.0,408.0,3707.0,517.0,11885.0
6,179622,282,192642,55.0,1373.0,7529.0,971.0,586.0,2124.0,28251.0
7,361293,546,231958,12.0,170.0,14728.0,2442.0,766.0,4264.0,40746.0
8,632982,490,547087,0.0,508.0,16763.0,1805.0,565.0,3024.0,38086.0
9,336622,153,378726,0.0,76.0,7631.0,942.0,613.0,863.0,17430.0
